tweet,label
@gsff you little shithead ,1
@apriasd you little fucker ,1
thank you much every thing ,0
@skdjalsdk you damn beautiful ,0
@sdasldkajsd i fucking love you , 0
you adorable , 0
you amazing , 0
@xcvxcvas fuck , 1
fuck little shit @jessa ,1
you gay homophobic shit @asd ,1
amazing dance ,0
you lovely ,0
@xcvkae you lovely ,0
@xcvxcv you shitty bastard ,1
@askldjadie you die bitch ,1
you one smart little kid ,0
drunk texts fun you one sending ,0
homeless guy asked me i okay ,0
love thy neighbor not get caught ,0
i excited supreme court finally let us know gay people human beings ,0
i want mirrors fogged i cannot see my naked body ,0
wants join me quest warn teenagers harms plucking your eyebrows thin ,0
i life besides twitter ,0
@asda you little freak bitch ,1
@asdasd you freak ,1
@chaskdja shut you homo ,1
@asd @asdasd you assholes ,1
like one time i take walk woods realize wifi i began panic ,0
@asjkdasdjas you need stop panicking ,0
i rarely eat kale chips i i eat condescendingly self righteously ,0
relationship becomes much work you outsource work china ,0
you implying i gay @asdasd , 0
every mirror vanity mirror ,0
made sex robot xbox i free clinic getting red ring death looked ,0
@asjdasd you dumb haha , 1
@ppoqeiwqew you little biatch stay away my boyfriend you slut , 1
you little whore @reasd , 1
@poasdiasd you cumdump trash ,1
@asdkaw well you piece shit ,1
well you actually got me right ,0
my mouth smells like cave someone shoved bunch dead animals ,0
miami heat fan like high fiving starbucks employees locally owned coffee shop across street boards doors ,0
subway must introduced new genius feature suggested i might like drink my sandwich i nailed ,0
hi my name richard i husband months since my last decision ,0
@uqwieuqowe you motherfucker dumb stupid bitch ,1
leaf blower guys must constantly looking blow jobs ,0
chinese tattoo your neck must symbol unemployment ,0
ever find yourself masturbating realize you already watched episode trading spaces ,0
fly i killed my apartment talented every celebrity tweets fucking site ,0
my pirates caribbean dvd piracy warning i think pretty much goes without saying ,0
lets hold calling dolphins smartest animal stop getting caught nets ,0
dang girl you die hard tbs looks like good parts missing ,0
@oapsdias you douchebag shit stop fucking ,1
@polly fucking hell you , 1
@hahah you fucking stupid ,1
eligible shitty heads ,0
amazingly shitty person @jasd ,1
stupid people like you douches douchebags @axcvd ,1
cats bag cats bag you still see tail cats rolling around sand dirt ,0
anyone want come stare phones ,0
i spoon devoted solely peanut butter things not really looking ,0
confuse cops let us steal sign pole leave street sign ,0
i wish your vagina clear history button ,0
using my good looks charm i gain trust orangutan become my personal kush consultant legal guardian ,0
my life would lot easier shopping online sort least ugly option ,0
mosquitoes sucked fat instead blood ,0
used shampoo fortifying giant brick wall manifested around me shower i guess my home ,0
you know you allergic cats you never even tasted one ,0
i always hate restaurant somebody else picked ,0
stock market astrology people think good astrology ,0
fun fact cats call pussies people ,0
sorry i got us kicked your nieces dance recital blowing my airhorn much ,0
@zxmc you fucktard ,1
@jaseas stupid you you little cock shit ,1
@xmznc funny you super fucking ugly ,1
@asdw you faggot come closet already ,1
@osuw yeah shut you freak ,1
@oasd ohh you lesbo shit ,1
@awoc twat ,1
@aprillbeee you skinny slut ,1
@fatsss fatso bitch little amy fucker ,1
@vncx amazing fucked you ,1
@little shitty shits ,1
@naseqw motherfuckers like you need die ,1
@zxcz you one reason death penalty considered lawful you rapist niggah stupid ,1
@asdas you deserve die you fucking slut ,1
@asdqcz you dumb fuck ,1
@aszxczxc gaylord ,1
@asdxzcpo fuckwit twat you ,1
@cpoi fuck you ,1
@lkpo you twat ,1
@zxcnz you stupid dumb idiot ,1
@poiasd you schools slut ,1
@zxczx everyone wants fuck you you bitch ,1
@poizxc fooker hooker like you ,1
@cxvmno fucking piece meat ,1
@npoka you motherfucker die kill yourself ,1
@qwoeiq jerks like you haha stupid idiot ,1
@liasd you shithead cannot even get right ,1
@poizxc you little stupidhead dickheads ,1
